"date","location","gender","sociodemographics","indicators","statistics","scale","value"
"2023-04","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands",
"2023-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","237"
"2024-07","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands",
"2024-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands",
"2022-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","35.7"
"2023-04","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","28.8"
"2023-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","30.8"
"2024-07","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","32.0"
"2024-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","23.0"
"2022-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands",
"2023-04","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands",
"2023-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands",
"2024-07","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands",
"2024-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands",
"2022-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 3","Percentage of persons","units","35.0"
"2023-04","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 3","Percentage of persons","units","42.4"
"2023-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 3","Percentage of persons","units","37.1"
"2024-07","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 3","Percentage of persons","units","33.3"
"2024-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 3","Percentage of persons","units","39.7"
"2022-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 3","Number of persons","thousands",
"2023-04","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 3","Number of persons","thousands","374"
"2023-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 3","Number of persons","thousands","308"
"2024-07","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 3","Number of persons","thousands",
"2024-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 3","Number of persons","thousands",
"2022-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","29.4"
"2023-04","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","28.8"
"2023-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","32.1"
"2024-07","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","34.8"
"2024-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","37.3"
"2022-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","258"
"2023-04","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","254"
"2023-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","267"
"2024-07","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","260"
"2024-10","Canada (excluding territories)","Men","LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","346"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Percentage of persons","units","12.6"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Percentage of persons","units","15.4"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Percentage of persons","units","16.2"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Percentage of persons","units","13.2"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Percentage of persons","units","15.1"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Percentage of persons","units","14.4"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Number of persons","thousands","1892"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Number of persons","thousands","2297"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Number of persons","thousands","2447"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Number of persons","thousands","2045"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Number of persons","thousands","2427"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 1 or 2","Number of persons","thousands","2303"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Percentage of persons","units","21.0"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Percentage of persons","units","23.0"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Percentage of persons","units","21.8"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Percentage of persons","units","20.7"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Percentage of persons","units","22.1"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Percentage of persons","units","23.3"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Number of persons","thousands","3163"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Number of persons","thousands","3437"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Number of persons","thousands","3301"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Number of persons","thousands","3206"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Number of persons","thousands","3554"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 3","Number of persons","thousands","3743"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Percentage of persons","units","66.4"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Percentage of persons","units","61.6"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Percentage of persons","units","62.0"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Percentage of persons","units","66.1"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Percentage of persons","units","62.7"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Percentage of persons","units","62.3"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Number of persons","thousands","9975"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Number of persons","thousands","9192"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Number of persons","thousands","9391"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Number of persons","thousands","10219"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Number of persons","thousands","10066"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the police rating of 4 or 5","Number of persons","thousands","9990"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","21.1"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","23.5"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","25.8"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","22.1"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","23.6"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","24.6"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","3159"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","3496"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","3871"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","3416"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","3763"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","3929"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Percentage of persons","units","27.6"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Percentage of persons","units","29.0"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Percentage of persons","units","30.4"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Percentage of persons","units","27.6"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Percentage of persons","units","26.8"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Percentage of persons","units","27.1"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Number of persons","thousands","4133"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Number of persons","thousands","4325"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Number of persons","thousands","4562"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Number of persons","thousands","4255"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Number of persons","thousands","4269"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 3","Number of persons","thousands","4327"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","51.3"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","47.5"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","43.8"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","50.3"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","49.6"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","48.3"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","7686"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","7071"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","6572"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","7755"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","7917"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","7716"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Percentage of persons","units","18.7"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Percentage of persons","units","22.9"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Percentage of persons","units","23.3"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Percentage of persons","units","23.4"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Percentage of persons","units","23.0"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Percentage of persons","units","23.1"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Number of persons","thousands","2798"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Number of persons","thousands","3390"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Number of persons","thousands","3508"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Number of persons","thousands","3609"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Number of persons","thousands","3647"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 1 or 2","Number of persons","thousands","3686"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Percentage of persons","units","30.4"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Percentage of persons","units","30.5"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Percentage of persons","units","32.8"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Percentage of persons","units","32.1"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Percentage of persons","units","31.3"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Percentage of persons","units","31.1"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Number of persons","thousands","4535"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Number of persons","thousands","4514"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Number of persons","thousands","4939"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Number of persons","thousands","4936"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Number of persons","thousands","4979"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 3","Number of persons","thousands","4953"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Percentage of persons","units","50.9"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Percentage of persons","units","46.7"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Percentage of persons","units","43.8"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Percentage of persons","units","44.5"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Percentage of persons","units","45.7"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Percentage of persons","units","45.8"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Number of persons","thousands","7591"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Number of persons","thousands","6912"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Number of persons","thousands","6592"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Number of persons","thousands","6847"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Number of persons","thousands","7262"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the school system rating of 4 or 5","Number of persons","thousands","7293"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","35.7"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","39.8"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","42.7"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","43.2"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","43.0"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","43.5"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","5338"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","5917"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","6409"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","6670"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","6864"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","6909"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","30.2"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","28.5"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","29.2"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","29.9"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","28.9"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","28.8"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","4526"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","4233"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","4379"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","4618"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","4618"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","4587"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","34.1"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","31.8"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","28.1"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","26.9"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","28.1"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","27.7"
"2022-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","5107"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","4725"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","4213"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","4144"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","4477"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","4406"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","39.9"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","38.5"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","30.4"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","30.5"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","34.2"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","5943"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","5823"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","4695"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","4866"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","5457"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 3","Percentage of persons","units","29.1"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 3","Percentage of persons","units","31.1"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 3","Percentage of persons","units","34.6"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 3","Percentage of persons","units","33.1"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 3","Percentage of persons","units","32.3"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 3","Number of persons","thousands","4338"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 3","Number of persons","thousands","4700"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 3","Number of persons","thousands","5357"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 3","Number of persons","thousands","5286"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 3","Number of persons","thousands","5157"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","31.0"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","30.4"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","35.0"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","36.4"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","33.5"
"2022-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","4612"
"2023-04","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","4587"
"2023-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","5416"
"2024-07","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","5811"
"2024-10","Canada (excluding territories)","Men","Non-LGBTQ2+ people","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","5353"
"2022-04","Canada (excluding territories)","Men","No certificate, diploma or degree","Confidence in the police rating of 1 or 2","Percentage of persons","units","14.3"
